Actual,Predicted
f,f
!,!
!,!
|,|
R,R
+,+
|,|
Q,Q
Other,Other
N,N
A,A
R,R
N,N
"""",""""
R,R
~,~
N,N
f,f
+,+
V,V
V,V
!,!
F,F
!,!
Q,Q
L,L
N,N
Q,Q
F,F
F,F
~,~
"""",""""
Other,Other
R,R
Other,Other
F,F
f,f
Other,Other
L,L
R,R
/,/
L,L
f,f
~,~
+,+
!,!
N,R
~,~
Other,Other
F,F
|,|
V,N
Q,Q
+,+
V,V
Q,Q
/,/
Q,Q
Q,Q
f,f
|,|
R,R
|,|
F,F
A,A
L,L
f,f
|,|
!,!
+,+
N,N
Other,Other
V,V
~,~
+,+
|,|
Q,Q
A,A
/,/
L,L
F,F
"""",""""
Q,Q
F,F
/,/
/,/
V,V
/,/
f,f
/,/
+,+
L,L
L,/
/,/
+,+
f,f
+,+
~,~
N,N
f,f
R,R
f,f
|,|
L,L
|,|
L,L
V,V
|,|
R,R
R,R
!,!
!,!
Q,Q
~,~
|,|
A,A
|,|
"""",""""
V,V
A,A
A,A
!,!
f,f
F,F
R,R
N,N
f,f
L,L
f,f
/,/
V,V
L,L
F,F
"""",""""
"""",""""
F,F
+,+
L,L
"""",""""
f,f
+,+
A,A
L,L
"""",""""
L,L
L,L
A,A
~,~
A,A
A,A
F,F
L,L
"""",""""
Other,Other
V,V
f,f
Q,Q
F,F
Q,Q
+,+
L,L
R,R
F,F
f,f
+,+
L,/
"""",""""
|,|
"""",""""
+,+
!,!
F,F
A,A
/,/
~,~
~,~
|,|
N,V
Other,Other
+,+
Other,Other
A,A
A,A
R,R
R,R
!,!
f,f
f,f
|,|
Q,Q
f,f
V,V
!,!
L,L
+,+
/,/
L,L
V,V
V,V
N,/
"""",""""
/,/
~,~
f,f
Q,Q
+,+
"""",""""
Other,Other
!,!
Other,Other
"""",""""
Other,Other
F,F
Q,Q
f,f
F,F
|,|
V,V
R,R
|,|
V,V
N,N
Q,Q
V,V
Q,Q
L,L
F,F
L,L
V,V
"""",""""
f,f
|,|
F,F
Q,Q
R,R
|,|
|,|
Q,Q
!,!
f,f
Q,Q
V,V
R,R
!,!
/,/
!,!
F,F
~,~
Other,Other
F,F
F,F
|,|
R,R
|,|
Other,Other
"""",""""
R,R
Other,Other
"""",""""
F,F
|,|
/,/
|,|
~,~
+,+
~,~
f,f
L,L
~,~
V,V
~,~
"""",""""
Q,Q
+,+
~,~
A,A
V,V
L,L
"""",""""
N,N
L,L
/,/
"""",""""
F,F
L,L
V,V
|,|
!,!
Other,Other
Other,Other
V,V
|,|
|,|
N,N
!,!
A,A
Q,Q
+,+
A,A
Q,Q
+,+
!,!
L,L
"""",""""
|,|
~,~
f,f
!,!
N,N
V,V
F,F
"""",""""
|,|
R,R
+,+
Q,Q
|,|
f,f
V,V
!,!
A,A
+,+
|,|
~,~
F,F
f,f
"""",""""
"""",""""
V,V
f,f
N,A
~,~
R,R
R,R
N,L
F,R
F,F
R,R
"""",""""
Other,Other
Other,Other
!,!
A,A
N,N
F,F
f,f
A,A
~,~
A,A
Q,Q
!,!
|,|
V,V
+,+
N,N
!,!
Q,Q
!,!
N,N
/,/
F,F
"""",""""
V,V
f,f
+,+
Q,Q
f,f
"""",""""
/,/
A,A
Q,Q
"""",""""
/,/
/,/
N,/
Q,Q
R,R
"""",""""
V,V
+,+
F,F
~,~
R,R
|,|
f,f
A,A
R,R
Q,Q
V,V
V,V
!,!
R,R
"""",""""
/,/
"""",""""
~,~
L,L
"""",""""
A,A
V,V
/,/
V,V
+,+
f,f
V,V
+,+
~,~
!,!
F,F
Other,Other
~,~
A,A
/,/
Q,Q
|,|
Other,Other
/,/
~,~
F,F
!,!
Other,Other
f,f
F,F
R,R
"""",""""
/,/
L,L
Other,Other
N,N
!,!
